2019,CNPq,17718
2018,CNPq,25466
2017,CNPq,24399
2016,CNPq,21938
2015,CNPq,19747
2014,CNPq,17909
2013,CNPq,16935
2012,CNPq,15427
2011,CNPq,13600
2010,CNPq,11660
2009,CNPq,9986
2008,CNPq,3842
2019,CAPES,14975
2018,CAPES,18611
2017,CAPES,16956
2016,CAPES,14800
2015,CAPES,12836
2014,CAPES,10916
2013,CAPES,9702
2012,CAPES,8403
2011,CAPES,7085
2010,CAPES,5683
2009,CAPES,4643
2008,CAPES,1724
2019,FAPESP,7654
2018,FAPESP,11332
2017,FAPESP,10774
2016,FAPESP,9828
2015,FAPESP,8923
2014,FAPESP,8152
2013,FAPESP,7837
2012,FAPESP,7175
2011,FAPESP,6433
2010,FAPESP,5577
2009,FAPESP,4951
2008,FAPESP,1869
